Name,Longitude,Latitude
Harbor East/Little Italy,-76.60053507,39.28626895
Morrell Park/Violetville,-76.65046933,39.26557997
Beechfield/Ten Hills/West Hills,-76.70600527,39.29222283
Glen-Fallstaff,-76.69855375,39.35601365
Loch Raven,-76.57897587,39.35742582
Sandtown-Winchester/Harlem Park,-76.63748099,39.30124439
Downtown/Seton Hill,-76.61979041,39.29405435
Downtown/Seton Hill,-76.61935152,39.28765999
Upton/Druid Heights,-76.63197366,39.29546287
Sandtown-Winchester/Harlem Park,-76.64155284,39.2952676
North Baltimore/Guilford/Homeland,-76.616294,39.33268639
Allendale/Irvington/S. Hilton,-76.67545539,39.29348189
Dorchester/Ashburton,-76.67414887,39.33644025
Upton/Druid Heights,-76.62974184,39.29949061
Edmondson Village,-76.67537412,39.29719188
Mount Washington/Coldspring,-76.67172041,39.36106024
Cedonia/Frankford,-76.54905713,39.32321764
Medfield/Hampden/Woodberry/Remington,-76.62018399,39.32319575
Mount Washington/Coldspring,-76.67172041,39.36106024
Sandtown-Winchester/Harlem Park,-76.64587475,39.29528494
Belair-Edison,-76.56373199,39.31951313
Westport/Mount Winans/Lakeland,-76.65154863,39.25424246
Westport/Mount Winans/Lakeland,-76.65355146,39.2535174
Downtown/Seton Hill,-76.62459861,39.29749748
Belair-Edison,-76.5721634,39.32281327
Greater Charles Village/Barclay,-76.61316977,39.31444647
Morrell Park/Violetville,-76.65802295,39.26241114
Belair-Edison,-76.57074459,39.32564134
Greater Charles Village/Barclay,-76.61315821,39.31444693
Clifton-Berea,-76.5766873,39.3061133
Edmondson Village,-76.67633346,39.29553815
Inner Harbor/Federal Hill,-76.61205662,39.28664177
Brooklyn/Curtis Bay/Hawkins Point,-76.60900775,39.23721982
North Baltimore/Guilford/Homeland,-76.61150601,39.34014757
North Baltimore/Guilford/Homeland,-76.61984474,39.36335572
Morrell Park/Violetville,-76.67094607,39.26097531
North Baltimore/Guilford/Homeland,-76.61839567,39.36109115
Upton/Druid Heights,-76.63637634,39.30739621
Inner Harbor/Federal Hill,-76.60771899,39.28680578
Medfield/Hampden/Woodberry/Remington,-76.61978332,39.31780483
Beechfield/Ten Hills/West Hills,-76.70454415,39.29245113
Greater Mondawmin,-76.6482825,39.31092808
Howard Park/West Arlington,-76.69579251,39.32830989
Washington Village/Pigtown,-76.6000271,39.28842295
Greater Mondawmin,-76.65719635,39.31059338
Canton,-76.57554776,39.28330417
Cedonia/Frankford,-76.53449284,39.33046807
Downtown/Seton Hill,-76.62335135,39.29371015
Fells Point,-76.59117923,39.28369882
Oldtown/Middle East,-76.60064481,39.30154632
Cross-Country/Cheswolde,-76.67513674,39.36474565
Medfield/Hampden/Woodberry/Remington,-76.62167838,39.3216874
Greater Mondawmin,-76.65514556,39.31554393
Belair-Edison,-76.57204483,39.32274102
Sandtown-Winchester/Harlem Park,-76.64462472,39.30755874
Cherry Hill,-76.62640004,39.25341284
Downtown/Seton Hill,-76.61521506,39.28944883
Cedonia/Frankford,-76.55674013,39.33198551
Penn North/Reservoir Hill,-76.64207642,39.31272014
Cedonia/Frankford,-76.53340625,39.32465678
Westport/Mount Winans/Lakeland,-76.64598257,39.26132275
Brooklyn/Curtis Bay/Hawkins Point,-76.59237593,39.23174579
Brooklyn/Curtis Bay/Hawkins Point,-76.6001618,39.23453699
Brooklyn/Curtis Bay/Hawkins Point,-76.60243065,39.23234865
Downtown/Seton Hill,-76.61960737,39.29295114
Cherry Hill,-76.62375692,39.24972045
Belair-Edison,-76.56978784,39.31706651
Brooklyn/Curtis Bay/Hawkins Point,-76.60364853,39.2355753
Medfield/Hampden/Woodberry/Remington,-76.63551223,39.33266913
Canton,-76.57701849,39.28411789
Greater Mondawmin,-76.65390559,39.31533217
Cedonia/Frankford,-76.54529049,39.32625856
Belair-Edison,-76.57385495,39.32677311
Glen-Fallstaff,-76.702912,39.36481181
Morrell Park/Violetville,-76.65284644,39.266244
Inner Harbor/Federal Hill,-76.61206788,39.28664151
Medfield/Hampden/Woodberry/Remington,-76.63056301,39.32868789
Downtown/Seton Hill,-76.61393485,39.29237412
Brooklyn/Curtis Bay/Hawkins Point,-76.5933109,39.23282684
Greater Mondawmin,-76.65390559,39.31533217
Belair-Edison,-76.57199303,39.32556768
Cedonia/Frankford,-76.54066813,39.32356193
Canton,-76.5689176,39.28647837
Cherry Hill,-76.62386228,39.24841204
Medfield/Hampden/Woodberry/Remington,-76.63648813,39.33064648
Howard Park/West Arlington,-76.69717159,39.33195205
Greater Charles Village/Barclay,-76.6173608,39.32458093
Belair-Edison,-76.57803445,39.31774307
Downtown/Seton Hill,-76.61521506,39.28944883
Downtown/Seton Hill,-76.61521506,39.28944883
Downtown/Seton Hill,-76.61825413,39.29407095
Dorchester/Ashburton,-76.67329974,39.33192572
Edmondson Village,-76.68484521,39.30149492
Edmondson Village,-76.68484521,39.30149492
Loch Raven,-76.58124588,39.36016566
Upton/Druid Heights,-76.62511682,39.30152297
Greater Rosemont,-76.66784154,39.30512111
Greater Rosemont,-76.66784154,39.30512111
Downtown/Seton Hill,-76.61471859,39.29360047
Downtown/Seton Hill,-76.62268596,39.29494852
Westport/Mount Winans/Lakeland,-76.6401335,39.26327196
Fells Point,-76.59374285,39.28735026
Greater Charles Village/Barclay,-76.6156749,39.32332779
Sandtown-Winchester/Harlem Park,-76.63642246,39.3025384
Edmondson Village,-76.67853318,39.29552559
Glen-Fallstaff,-76.70449311,39.36361387
Cedonia/Frankford,-76.54836606,39.322112
Upton/Druid Heights,-76.62676181,39.30046878
Glen-Fallstaff,-76.69036887,39.35136091
Westport/Mount Winans/Lakeland,-76.64432481,39.25662851
Belair-Edison,-76.56586321,39.3210636
Allendale/Irvington/S. Hilton,-76.68625265,39.28243099
Dickeyville/Franklintown,-76.70897516,39.30769466
Greater Charles Village/Barclay,-76.61111734,39.31509091
Allendale/Irvington/S. Hilton,-76.67260776,39.29065698
Greater Charles Village/Barclay,-76.61343793,39.31546524
North Baltimore/Guilford/Homeland,-76.61532104,39.35647493
Cedonia/Frankford,-76.54546985,39.34234671
Belair-Edison,-76.57259057,39.32074735
Sandtown-Winchester/Harlem Park,-76.64469819,39.30597714
Howard Park/West Arlington,-76.69138025,39.33011624
Greater Charles Village/Barclay,-76.61482793,39.32834898
Greater Mondawmin,-76.65390559,39.31533217
Lauraville,-76.56642999,39.34662875
Belair-Edison,-76.57104534,39.31566133
Belair-Edison,-76.57193467,39.31731679
Greater Mondawmin,-76.65652336,39.3160898
Belair-Edison,-76.57846241,39.31737048
Howard Park/West Arlington,-76.68991197,39.3375851
Cross-Country/Cheswolde,-76.68166486,39.36985569
Downtown/Seton Hill,-76.61533613,39.29175076
Belair-Edison,-76.57114203,39.32341591
Sandtown-Winchester/Harlem Park,-76.64484999,39.30308822
Downtown/Seton Hill,-76.62120769,39.29295037
Brooklyn/Curtis Bay/Hawkins Point,-76.58832448,39.22458908
Downtown/Seton Hill,-76.61365169,39.28871855
Howard Park/West Arlington,-76.70068239,39.33305425
Mount Washington/Coldspring,-76.65494198,39.3680969
Morrell Park/Violetville,-76.65000624,39.26289778
Washington Village/Pigtown,-76.5998703,39.28848149
Howard Park/West Arlington,-76.6943421,39.33086397
Westport/Mount Winans/Lakeland,-76.64266372,39.25552175
Cedonia/Frankford,-76.53460995,39.33119231
Poppleton/The Terraces/Hollins Market,-76.62793906,39.29278452
Greater Rosemont,-76.66973345,39.30795568
Greater Rosemont,-76.66973345,39.30795568
Cedonia/Frankford,-76.54851294,39.34019713
Downtown/Seton Hill,-76.62335135,39.29371015
Fells Point,-76.58811935,39.28381627
Brooklyn/Curtis Bay/Hawkins Point,-76.60419532,39.23246998
Canton,-76.58411499,39.28538294
Poppleton/The Terraces/Hollins Market,-76.63371861,39.28881039
Greater Rosemont,-76.66971656,39.30519011
Howard Park/West Arlington,-76.70107822,39.32566667
Dorchester/Ashburton,-76.67289321,39.32567844
Washington Village/Pigtown,-76.6000271,39.28842295
Forest Park/Walbrook,-76.66635157,39.31134938
Howard Park/West Arlington,-76.68969058,39.3375851
Poppleton/The Terraces/Hollins Market,-76.63315692,39.29164246
Beechfield/Ten Hills/West Hills,-76.6964569,39.27652964
Lauraville,-76.56587391,39.3508745
Cherry Hill,-76.63983767,39.24890618
Washington Village/Pigtown,-76.63357785,39.27935328
Downtown/Seton Hill,-76.61424168,39.28874477
Inner Harbor/Federal Hill,-76.60179418,39.2851316
Greater Rosemont,-76.67064986,39.30311115
Sandtown-Winchester/Harlem Park,-76.641399,39.29542104
Upton/Druid Heights,-76.63462022,39.30342931
Belair-Edison,-76.56859793,39.31483037
Canton,-76.58649998,39.2848604
Mount Washington/Coldspring,-76.57686327,39.34549554
Poppleton/The Terraces/Hollins Market,-76.6325157,39.29110538
Medfield/Hampden/Woodberry/Remington,-76.63648813,39.33064648
Harbor East/Little Italy,-76.60218292,39.28699998
Cedonia/Frankford,-76.53693974,39.3218651
Allendale/Irvington/S. Hilton,-76.68763296,39.2837919
Westport/Mount Winans/Lakeland,-76.63857714,39.25423349
Downtown/Seton Hill,-76.62441427,39.29512356
Brooklyn/Curtis Bay/Hawkins Point,-76.59056609,39.23198562
Brooklyn/Curtis Bay/Hawkins Point,-76.60093123,39.23494386
Cross-Country/Cheswolde,-76.68729136,39.37016262
Belair-Edison,-76.57515363,39.32452101
Medfield/Hampden/Woodberry/Remington,-76.639242,39.32901575
Sandtown-Winchester/Harlem Park,-76.63711539,39.29468963
Belair-Edison,-76.5627697,39.31575179
Washington Village/Pigtown,-76.5998703,39.28848149
Cedonia/Frankford,-76.53520485,39.33252143
Downtown/Seton Hill,-76.61941786,39.29005085
Greater Charles Village/Barclay,-76.61291713,39.31804695
Downtown/Seton Hill,-76.61963851,39.29146479
Cherry Hill,-76.61809612,39.24754666
Belair-Edison,-76.5634548,39.32861339
Westport/Mount Winans/Lakeland,-76.64112743,39.25338825
Greater Charles Village/Barclay,-76.61701689,39.31733565
Washington Village/Pigtown,-76.63144258,39.28113959
North Baltimore/Guilford/Homeland,-76.60991831,39.3544089
Penn North/Reservoir Hill,-76.63204087,39.31435613
Brooklyn/Curtis Bay/Hawkins Point,-76.6033018,39.23135438
Upton/Druid Heights,-76.63462022,39.30342931
Sandtown-Winchester/Harlem Park,-76.64662354,39.29510425
Inner Harbor/Federal Hill,-76.61308293,39.28508598
Cedonia/Frankford,-76.53934973,39.32316996
Dorchester/Ashburton,-76.67467264,39.32942853
Inner Harbor/Federal Hill,-76.61367791,39.28768334
Inner Harbor/Federal Hill,-76.61206788,39.28664151
Upton/Druid Heights,-76.63265343,39.30354006
Fells Point,-76.59447304,39.29864912
Sandtown-Winchester/Harlem Park,-76.64175644,39.3015865
Penn North/Reservoir Hill,-76.63841844,39.31510524
Greater Mondawmin,-76.65183225,39.31172813
Greater Charles Village/Barclay,-76.6168427,39.31640784
Cedonia/Frankford,-76.56295147,39.33002461
Inner Harbor/Federal Hill,-76.605408,39.28496338
Upton/Druid Heights,-76.63373721,39.30725217
Upton/Druid Heights,-76.63384752,39.30297071
Allendale/Irvington/S. Hilton,-76.67660861,39.28891658
Downtown/Seton Hill,-76.62089593,39.28989958
Dorchester/Ashburton,-76.66941865,39.32840527
Greater Roland Park/Poplar Hill,-76.63415832,39.34019953
Oldtown/Middle East,-76.58806709,39.29642405
Brooklyn/Curtis Bay/Hawkins Point,-76.60945427,39.23661477
Greater Charles Village/Barclay,-76.61820328,39.31650324
Morrell Park/Violetville,-76.65223927,39.26696582
Penn North/Reservoir Hill,-76.63251979,39.31658273
Downtown/Seton Hill,-76.62387286,39.29145944
Belair-Edison,-76.56267165,39.32816007
Belair-Edison,-76.56267165,39.32816007
Poppleton/The Terraces/Hollins Market,-76.63052602,39.29116868
Brooklyn/Curtis Bay/Hawkins Point,-76.6006787,39.23232062
Greater Mondawmin,-76.65002688,39.31085782
Belair-Edison,-76.56066221,39.31812738
Glen-Fallstaff,-76.70908226,39.36993108
Greater Charles Village/Barclay,-76.61823725,39.31697871
Sandtown-Winchester/Harlem Park,-76.64048569,39.30434133
Belair-Edison,-76.57803445,39.31774307
Canton,-76.56927436,39.27721015
Fells Point,-76.59426343,39.29534124
Cross-Country/Cheswolde,-76.68729136,39.37016262
North Baltimore/Guilford/Homeland,-76.61459606,39.35787707
Glen-Fallstaff,-76.68545871,39.35297091
Inner Harbor/Federal Hill,-76.61206788,39.28664151
Sandtown-Winchester/Harlem Park,-76.64450402,39.30031057
Brooklyn/Curtis Bay/Hawkins Point,-76.60151442,39.23337879
Cross-Country/Cheswolde,-76.6854143,39.37118561
Brooklyn/Curtis Bay/Hawkins Point,-76.58695782,39.22723179
Oldtown/Middle East,-76.59234121,39.30201402
Greater Charles Village/Barclay,-76.61949052,39.32302312
Oldtown/Middle East,-76.60199357,39.29919415
Greater Charles Village/Barclay,-76.61820928,39.31658714
Glen-Fallstaff,-76.68799692,39.36147303
Howard Park/West Arlington,-76.68352783,39.35176513
Pimlico/Arlington/Hilltop,-76.68352783,39.35176513
Greater Mondawmin,-76.59298164,39.31228497
Glen-Fallstaff,-76.69764756,39.35664949
North Baltimore/Guilford/Homeland,-76.61507479,39.36185453
North Baltimore/Guilford/Homeland,-76.61574282,39.36321613
Medfield/Hampden/Woodberry/Remington,-76.63803392,39.33210259
Inner Harbor/Federal Hill,-76.61050043,39.28060962
Canton,-76.58253796,39.28507063
Poppleton/The Terraces/Hollins Market,-76.63333371,39.29241121
Greater Charles Village/Barclay,-76.61518015,39.31552711
North Baltimore/Guilford/Homeland,-76.61715698,39.34330774
Downtown/Seton Hill,-76.61126578,39.2349651
Sandtown-Winchester/Harlem Park,-76.64289206,39.29661008
Downtown/Seton Hill,-76.61123725,39.23480533
Sandtown-Winchester/Harlem Park,-76.64454789,39.30105465
Cherry Hill,-76.62034957,39.25366019
Glen-Fallstaff,-76.702912,39.36481181
Greater Mondawmin,-76.65817264,39.31799741
Downtown/Seton Hill,-76.61393485,39.29237412
Belair-Edison,-76.57241003,39.31645652
Downtown/Seton Hill,-76.61963851,39.29146479
Cedonia/Frankford,-76.54618891,39.33516955
Greater Charles Village/Barclay,-76.61572145,39.32203304
Sandtown-Winchester/Harlem Park,-76.63727532,39.29746689
Cedonia/Frankford,-76.54168031,39.32898392
Upton/Druid Heights,-76.63462022,39.30342931
Inner Harbor/Federal Hill,-76.60168346,39.28363365
Belair-Edison,-76.57846241,39.31737048
Downtown/Seton Hill,-76.61513366,39.29019665
Downtown/Seton Hill,-76.62113567,39.29156883
Cedonia/Frankford,-76.55887405,39.33114089
Clifton-Berea,-76.57639998,39.30543604
Forest Park/Walbrook,-76.67658783,39.32140457
Westport/Mount Winans/Lakeland,-76.6409078,39.26322111
Westport/Mount Winans/Lakeland,-76.64763947,39.25665364
Cedonia/Frankford,-76.56295147,39.33002461
Belair-Edison,-76.57202998,39.3165907
Greater Mondawmin,-76.65417855,39.30966858
Cherry Hill,-76.63301861,39.25037244
Mount Washington/Coldspring,-76.67348529,39.36211804
Howard Park/West Arlington,-76.69460462,39.32710953
Penn North/Reservoir Hill,-76.63136572,39.31536021
Cherry Hill,-76.63120571,39.25092892
Downtown/Seton Hill,-76.61687304,39.29411549
Washington Village/Pigtown,-76.62873145,39.2799263
Sandtown-Winchester/Harlem Park,-76.64413002,39.30678621
Cherry Hill,-76.6231427,39.24262999
Sandtown-Winchester/Harlem Park,-76.64447684,39.30177756
Greater Rosemont,-76.66738879,39.30460295
Belair-Edison,-76.5645767,39.32465038
Edmondson Village,-76.6820662,39.29996407
Downtown/Seton Hill,-76.61041773,39.29258096
North Baltimore/Guilford/Homeland,-76.616294,39.33268639
Canton,-76.57317702,39.27975257
Belair-Edison,-76.57042608,39.31825811
Belair-Edison,-76.55781754,39.31806387
Cherry Hill,-76.62685615,39.25289076
Downtown/Seton Hill,-76.61126578,39.2349651
Greater Mondawmin,-76.65219223,39.31591698
Downtown/Seton Hill,-76.62117821,39.28856357
Downtown/Seton Hill,-76.62117821,39.28856357
Greater Charles Village/Barclay,-76.61045672,39.31662454
Allendale/Irvington/S. Hilton,-76.67920689,39.2854936
Cedonia/Frankford,-76.54949216,39.32692667
Cedonia/Frankford,-76.54336838,39.31624956
Oldtown/Middle East,-76.60563381,39.29939322
Greater Rosemont,-76.67012178,39.30140285
Medfield/Hampden/Woodberry/Remington,-76.64054857,39.3315353
Inner Harbor/Federal Hill,-76.61367791,39.28768334
Downtown/Seton Hill,-76.62113567,39.29156883
Greater Mondawmin,-76.65390559,39.31533217
Greater Charles Village/Barclay,-76.61491114,39.32927685
Fells Point,-76.5902679,39.28132643
Westport/Mount Winans/Lakeland,-76.63478237,39.26157172
Brooklyn/Curtis Bay/Hawkins Point,-76.59611394,39.23190177
Beechfield/Ten Hills/West Hills,-76.69479357,39.27142371
Harbor East/Little Italy,-76.59841035,39.2863342
Cedonia/Frankford,-76.54688015,39.3394408
Forest Park/Walbrook,-76.67360989,39.32146984
Oldtown/Middle East,-76.60591416,39.29648127
Downtown/Seton Hill,-76.61397123,39.29047872
Clifton-Berea,-76.58283152,39.30903368
Cherry Hill,-76.62619149,39.24800953
Canton,-76.57221605,39.28430778
Canton,-76.57082229,39.28450486
